genre,title,text,nouns,adjectives,verbs
tragedy,hamlet,"*** START OF THE PROJECT GUTENBERG EBOOK HAMLET, PRINCE OF DENMARK ***",start,*,EBOOK
tragedy,hamlet,"BARNARDO.
Well, good night.
If you do meet Horatio and Marcellus,
The rivals of my watch, bid them make haste.",night rival watch haste,good,BARNARDO meet bid make
tragedy,hamlet,"FRANCISCO.
Give you good night.",FRANCISCO night,good,give
tragedy,hamlet,"MARCELLUS.
O, farewell, honest soldier, who hath reliev’d you?",soldier reliev’d,farewell honest,hath
tragedy,hamlet,"FRANCISCO.
Barnardo has my place. Give you good-night.",FRANCISCO place night,good,give
tragedy,hamlet,"BARNARDO.
Sit down awhile,
And let us once again assail your ears,
That are so fortified against our story,
What we two nights have seen.",BARNARDO ear story night,fortified,sit let assail see
tragedy,hamlet,"BARNARDO.
Last night of all,
When yond same star that’s westward from the pole,
Had made his course t’illume that part of heaven
Where now it burns, Marcellus and myself,
The bell then beating one—",night yond star pole course t’illume part bell,last same,BARNARDO ’ make burn beat
tragedy,hamlet,"BARNARDO.
In the same figure, like the King that’s dead.",figure king,same dead,BARNARDO ’
tragedy,hamlet,"HORATIO.
What art thou that usurp’st this time of night,
Together with that fair and warlike form
In which the majesty of buried Denmark
Did sometimes march? By heaven I charge thee speak.",art thou time night form majesty speak,fair warlike,bury march charge
tragedy,hamlet,"BARNARDO.
How now, Horatio! You tremble and look pale.
Is not this something more than fantasy?
What think you on’t?",fantasy,pale more,BARNARDO tremble look think
tragedy,hamlet,"HORATIO.
Before my God, I might not this believe
Without the sensible and true avouch
Of mine own eyes.",avouch eye,sensible true own,believe
tragedy,hamlet,"HORATIO.
As thou art to thyself:
Such was the very armour he had on
When he th’ambitious Norway combated;
So frown’d he once, when in an angry parle
He smote the sledded Polacks on the ice.
’Tis strange.",art armour parle ice,thou such very th’ambitious angry strange,combat frown’d smite sledde ti
tragedy,hamlet,"MARCELLUS.
Thus twice before, and jump at this dead hour,
With martial stalk hath he gone by our watch.",hour stalk hath watch,dead martial,jump go
tragedy,hamlet,"HORATIO.
In what particular thought to work I know not;
But in the gross and scope of my opinion,
This bodes some strange eruption to our state.",thought gross scope opinion eruption state,particular strange,work know bode
tragedy,hamlet,"MARCELLUS.
Good now, sit down, and tell me, he that knows,
Why this same strict and most observant watch
So nightly toils the subject of the land,
And why such daily cast of brazen cannon
And foreign mart for implements of war;
Why such impress of shipwrights, whose sore task
Does not divide the Sunday from the week.
What might be toward, that this sweaty haste
Doth make the night joint-labourer with the day:
Who is’t that can inform me?",watch subject land cast brazen cannon implement war impress shipwright task week sweaty haste night labourer day,good same strict observant such daily foreign such sore joint,sit tell know toil divide make is’t inform
tragedy,hamlet,"HORATIO.
That can I;
At least, the whisper goes so. Our last King,
Whose image even but now appear’d to us,
Was, as you know, by Fortinbras of Norway,
Thereto prick’d on by a most emulate pride,
Dar’d to the combat; in which our valiant Hamlet,
For so this side of our known world esteem’d him,
Did slay this Fortinbras; who by a seal’d compact,
Well ratified by law and heraldry,
Did forfeit, with his life, all those his lands
Which he stood seiz’d of, to the conqueror;
Against the which, a moiety competent
Was gaged by our King; which had return’d
To the inheritance of Fortinbras,
Had he been vanquisher; as by the same cov’nant
And carriage of the article design’d,
His fell to Hamlet. Now, sir, young Fortinbras,
Of unimproved mettle, hot and full,
Hath in the skirts of Norway, here and there,
Shark’d up a list of lawless resolutes,
For food and diet, to some enterprise
That hath a stomach in’t; which is no other,
As it doth well appear unto our state,
But to recover of us by strong hand
And terms compulsatory, those foresaid lands
So by his father lost. And this, I take it,
Is the main motive of our preparations,
The source of this our watch, and the chief head
Of this post-haste and rummage in the land.",whisper king image appear’d prick’d pride dar’d combat side world compact law heraldry life land conqueror moiety competent return’d inheritance cov’nant carriage article design’d mettle skirt list resolute food diet enterprise stomach state hand term land father motive preparation source watch head haste rummage land,least last emulate valiant vanquisher same young unimproved hot full lawless other strong compulsatory foresaid main chief post -,go know know slay ratify forfeit stand gage fall shark’d hath doth appear recover lose take
tragedy,hamlet,"BARNARDO.
I think it be no other but e’en so:
Well may it sort that this portentous figure
Comes armed through our watch so like the King
That was and is the question of these wars.",figure watch question war,other e’en portentous armed,BARNARDO think sort come
tragedy,hamlet,"HORATIO.
A mote it is to trouble the mind’s eye.
In the most high and palmy state of Rome,
A little ere the mightiest Julius fell,
The graves stood tenantless and the sheeted dead
Did squeak and gibber in the Roman streets;
As stars with trains of fire and dews of blood,
Disasters in the sun; and the moist star,
Upon whose influence Neptune’s empire stands,
Was sick almost to doomsday with eclipse.
And even the like precurse of fierce events,
As harbingers preceding still the fates
And prologue to the omen coming on,
Have heaven and earth together demonstrated
Unto our climatures and countrymen.",mote mind eye state ere grave tenantless street star train fire dew blood disaster sun moist star influence empire doomsday eclipse precurse event harbinger fate oman earth climature countryman,high palmy little mighty dead roman sick like fierce,trouble fall stand sheet squeak gibber stand precede prologue come demonstrate
tragedy,hamlet,"But, soft, behold! Lo, where it comes again!
I’ll cross it, though it blast me. Stay, illusion!
If thou hast any sound, or use of voice,
Speak to me.
If there be any good thing to be done,
That may to thee do ease, and grace to me,
Speak to me.
If thou art privy to thy country’s fate,
Which, happily, foreknowing may avoid,
O speak!
Or if thou hast uphoarded in thy life
Extorted treasure in the womb of earth,
For which, they say, you spirits oft walk in death,
Speak of it. Stay, and speak!",illusion sound use voice thing ease grace art country fate speak life treasure womb earth spirit death,soft behold good thou,come cross blast stay hast speak be do speak foreknow avoid uphoarde extort say walk speak stay speak
tragedy,hamlet,"MARCELLUS.
’Tis gone!
We do it wrong, being so majestical,
To offer it the show of violence,
For it is as the air, invulnerable,
And our vain blows malicious mockery.",show violence air vain mockery,wrong majestical invulnerable malicious,ti go offer blow
tragedy,hamlet,"BARNARDO.
It was about to speak, when the cock crew.",cock crew,about,BARNARDO speak
tragedy,hamlet,"HORATIO.
And then it started, like a guilty thing
Upon a fearful summons. I have heard
The cock, that is the trumpet to the morn,
Doth with his lofty and shrill-sounding throat
Awake the god of day; and at his warning,
Whether in sea or fire, in earth or air,
Th’extravagant and erring spirit hies
To his confine. And of the truth herein
This present object made probation.",thing summon cock trumpet morn throat day warning sea fire earth air th’extravagant spirit hie confine truth herein object probation,guilty fearful lofty present,start hear sound awake err make
tragedy,hamlet,"MARCELLUS.
It faded on the crowing of the cock.
Some say that ever ’gainst that season comes
Wherein our Saviour’s birth is celebrated,
The bird of dawning singeth all night long;
And then, they say, no spirit dare stir abroad,
The nights are wholesome, then no planets strike,
No fairy takes, nor witch hath power to charm;
So hallow’d and so gracious is the time.",crowing cock season birth bird night spirit night planet fairy witch hath power time,wholesome gracious,fade say come celebrate dawn say dare stir strike take charm
tragedy,hamlet,"HORATIO.
So have I heard, and do in part believe it.
But look, the morn in russet mantle clad,
Walks o’er the dew of yon high eastward hill.
Break we our watch up, and by my advice,
Let us impart what we have seen tonight
Unto young Hamlet; for upon my life,
This spirit, dumb to us, will speak to him.
Do you consent we shall acquaint him with it,
As needful in our loves, fitting our duty?",part morn russet dew advice tonight life spirit love duty,young dumb needful,hear believe look clothe walk o’er break watch let impart see speak consent acquaint fit
