number,text
footnote 1,"Pons Aureoli,thirteen miles from Bergamo, and thirty-two from Milan. See Cluver. Italia Antiq. tom. i. p. 245. Near this place, in the year 1703, the obſtinate battle of Caſſano was fought between the French and Auſtrians. The excellent relation of the Chevalier de Folard, who was preſent, gives a very diſtinct idea of the ground. See Polybe de Folard, tom. iii. p. 223—248."
footnote 2,"On the death of Gallienus, ſee Trebellius Pollio in Hiſt. Auguſt. p. 181. Zoſimus, l. i. p. 37. Zonaras, l. xii. p. 634. Eutrop. ix. 11. Aurelius Victor in Epitom. Victor in Caeſar. I have compared and blended them all, but have chiefly followed Aurelius Victor, who ſeems to have had the beſt memoirs."
footnote 3,"Some ſuppoſed him, oddly enough, to be a baſtard of the younger Gordian. Others took advantage of the province of Dardania, to deduce his origin from Dardanus, and the ancient kings of Troy."
footnote 4,"Notoria,a periodical and official diſpatch which the Emperors received from thefrumentarii,or agents diſperſed through the provinces. Of theſe we may ſpeak hereafter."
footnote 5,"Hiſt. Auguſt. p. 208. Gallienus deſcribes the plate, veſtments, &c. like a man who loved and underſtood thoſe ſplendid trifles."
footnote 6,Julian (Orat. i. p. 6.) affirms that Claudius acquired the empire in a juſt and even holy manner. But we may diſtruſt the partiality of a kinſman.
footnote 7,Hiſt. Auguſt. p. 203. There are ſome trifling differences concerning the circumſtances of the laſt defeat and death of Aureolus.
footnote 8,Aurelius Victor in Gallien. The people loudly prayed for the damnation of Gallienus. The ſenate decreed that his relations and ſervants ſhould be thrown down headlong from the Gemonian ſtairs. An obnoxious officer of the revenue had his eyes torn out whilſt under examination.
footnote 9,"Zonaras, l. xii. p. 137."
footnote 10,Zonaras on this occaſion mentions Poſthumus; but the regiſters of the ſenate (Hiſt. Auguſt. p. 203.) prove that Tetricus was already emperor of the weſtern provinces.
footnote 11,"The Auguſtan Hiſtory mentions the ſmaller, Zonaras the larger, number; the lively fancy of Monteſquieu induced him to prefer the latter."
footnote 12,Trebell. Pollio in Hiſt. Auguſt. p. 204.
footnote 13,"Hiſt. Auguſt. in Claud. Aurelian. et Prob. Zoſimus, l. i. p. 38—42. Zonaras, l. xii. p. 638. Aurel. Victor in Epitom. Victor Junior in Caeſar. Eutrop. ix. 11. Euſeb. in Chron."
footnote 14,"According to Zonaras (l. xii. p. 638.), Claudius, before his death, inveſted him with the purple; but this ſingular fact is rather contradicted than confirmed by other writers."
footnote 15,"See the life of Claudius by Pollio, and the orations of Mamertinus, Eumenius, and Julian. See likewiſe the Caeſars of Julian, p. 313. In Julian it was not adulation, but ſuperſtition and vanity."
footnote 16,"Zoſimus, l. i. p. 42. Pollio (Hiſt. Auguſt. p. 207.) allows him virtues, and ſays, that like Pertinax he was killed by the licentious ſoldiers. According to Dexippus, he died of a diſeaſe."
footnote 17,"Theoclius (as quoted in the Auguſtan Hiſtory, p. 211.) affirms, that in one day he killed, with his own hand, forty-eight Sarmatians, and in ſeveral ſubſequent engagements nine hundred and fifty. This heroic valour was admired by the ſoldiers, and celebrated in their rude ſongs, the burden of which wasmille, mille, mille occidit."
footnote 18,"Acholius (ap. Hiſt. Auguſt. p. 213.) deſcribes the ceremony of the adoption, as it was performed at Byzantium, in the preſence of the emperor and his great officers."
