,id,sponsor,event,venue,place,date,location,page_count,dish_count
0,12463,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",4/15/1900,Hotel Eastman,2,67
1,12464,REPUBLICAN HOUSE,[DINNER],COMMERCIAL,"MILWAUKEE, [WI];",4/15/1900,Republican House,2,34
2,12465,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,2,84
3,12466,NORDDEUTSCHER LLOYD BREMEN,LUNCH;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,2,63
4,12467,NORDDEUTSCHER LLOYD BREMEN,DINNER;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,4,33
5,12468,CANADIAN PACIFIC RAILWAY COMPANY,[DINNER],COMMERCIAL,R.M.S. EMPRESS OF CHINA,4/16/1900,Canadian Pacific Railway Company,2,37
6,12469,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, [NY];",4/16/1900,Hotel Netherland,2,144
7,12470,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,2,80
8,12471,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,2,67
9,12472,NORDDEUTSCHER LLOYD BREMEN,[DINNER],COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,4,29
10,12473,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"[NEW YORK, NY]",4/17/1900,Hotel Marlborough,2,19
11,12474,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, [NEW YORK, NY];",4/17/1900,Alpha Of Zeta Psi,12,38
12,12475,MANHATTAN HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",4/18/1900,Manhattan Hotel,2,176
13,12476,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,"S.S. ""CITY OF PARA""",4/18/1900,Pacific Mail Steamship Company,4,21
14,12477,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",4/18/1900,Occidental & Oriental,2,24
16,12479,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"S.S. ""DORIC""",4/18/1900,Occidental & Oriental Steamship Company,4,44
17,12480,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",4/18/1900,Canadian Pacific Railway Company,2,37
18,12481,CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",4/18/1900,Canadian Pacific Railway Company,2,42
20,12483,MANHATTAN HOTEL,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",4/18/1900,Manhattan Hotel,2,129
21,12484,BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",4/18/1900,Boston Boot & Shoe Club,6,24
22,12485,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,4/19/1900,Canadian Pacific Railway,2,36
23,12486,HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,4/19/1900,Hotel Savoy,2,15
24,12487,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,4/19/1900,Pacific Mail Steamship Co.,2,13
25,12488,CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC;,"HOLLAND HOUSE, NEW YORK CITY",4/20/1900,Chi Psi Fraternity,4,19
26,12489,COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),4/20/1900,Colby Alumni Association Of New York,4,21
27,12490,HOTEL IMPERIAL,DINNER,COMMERCIAL,"(VIENNA, AUSTRIA ?)",4/20/1900,Hotel Imperial,2,16
28,12491,WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC;,"ANDERTON'S HOTEL, FLEET STREET, E.C. (ENGLAND?)",4/20/1900,Whitefriars Club,2,13
29,12492,WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC;,HOEL FLANDERS,4/20/1900,Wilson College Alumnae Association,10,14
30,12493,CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,4/20/1900,Canadian Pacific Railway,2,39
31,12494,KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC;,"GERMAN RELIEF HALL, MOBILE AL",4/21/1900,Knights Of Revelry,8,22
32,12495,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,4/20/1900,Veterans American Guard,8,20
33,12497,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,4/21/1900,Canadian Pacific Railway Company,2,38
34,12498,CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),4/22/1900,Cafe Boulevard,2,17
35,12499,PACIFIC MAIL STEAMSHIP CO.,LUNCH;,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,4/22/1900,Pacific Mail Steamship Co.,2,14
36,12500,MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,4/22/1900,Morning Newspaper Bowling League,2,23
37,12501,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS LUCANIA,4/23/1900,Cunard Line,2,97
38,12502,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS LUCANIA,4/23/1900,Cunard Line,2,90
39,12503,POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT;,DELMONICO'S,12-31-2200,Police Department Of The City Of New York,3,30
40,12504,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,2/18/1900,U.S.M.S. New York,2,99
41,12505,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,2/18/1900,Bartholdi Hotel,2,203
42,12506,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,2/18/1900,Bartholdi Hotel,4,336
43,12507,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,2/19/1900,Haan's,2,392
44,12508,MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,2/19/1900,Marie Antoinette Hotel,2,82
45,12509,RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,2/20/1900,Red Star Line   S.S.Southwark,2,56
46,12510,MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,2/20/1900,Marie Antoinette Hotel,2,128
47,12511,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL;,"HOTEL SAVOY,NEW YORK,NY",2/20/1900,Third Panel Sheriff's Jury New York County,12,35
48,12515,THE ALBANY,LUNCH,?,"DENVER, COLO;",1888-10-15,The Albany,2,30
49,12516,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",1865-09-28,Parker House,4,422
50,12517,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),2,21
51,12518,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",6/3/1901,Columbia Restaurant,4,475
